numberdeputy,deputy,party,yes,no,refrain,notvote,absent,question,session,convocation
1,Андрійович Зіновій Мирославович,Самовисування,1,0,0,0,0,16,8,7
2,Байдак Наталія Іванівна,Воля,1,0,0,0,0,16,8,7
3,Бойчук Микола Дмитрович,УКРОП,1,0,0,0,0,16,8,7
4,Будзак Василь Романович,СОЛІДАРНІСТЬ,1,0,0,0,0,16,8,7
5,Вінтоняк Тарас Мирославович,УКРОП,1,0,0,0,0,16,8,7
6,Возний Ігор Богданович,СОЛІДАРНІСТЬ,1,0,0,0,0,16,8,7
7,Гнідик Мирослав Степанович,Свобода,1,0,0,0,0,16,8,7
8,Гурмак Надія Володимирівна,Свобода,1,0,0,0,0,16,8,7
9,Даців Олег Васильович,СОЛІДАРНІСТЬ,0,0,0,0,1,16,8,7
10,Дроздик Анжеліка Борисівна,НАРОДНИЙ КОНТРОЛЬ,1,0,0,0,0,16,8,7
11,Зеленчук Богдан Іванович,СОЛІДАРНІСТЬ,0,0,0,0,1,16,8,7
12,Зіняк Тарас Мирославович,САМОПОМІЧ,1,0,0,0,0,16,8,7
13,Ільків Юрій Ярославович,Батьківщина,1,0,0,0,0,16,8,7
14,Капак Михайло Іванович,УКРОП,1,0,0,0,0,16,8,7
15,Кащенко Ірина Григорівна,Свобода,1,0,0,0,0,16,8,7
16,Костик Андрій Юрійович,САМОПОМІЧ,0,0,0,0,1,16,8,7
17,Кузюк Василь Юрійович,НАРОДНИЙ КОНТРОЛЬ,1,0,0,0,0,16,8,7
18,Луців Євген Михайлович,Свобода,1,0,0,0,0,16,8,7
19,Мажак Роман Павлович,Батьківщина,1,0,0,0,0,16,8,7
20,Монастирецький Володимир Ярославович,Воля,0,0,0,0,1,16,8,7
21,Пекарський Тарас Миколайович,СОЛІДАРНІСТЬ,1,0,0,0,0,16,8,7
22,Половко Степан Юрійович,Батьківщина,0,0,0,0,1,16,8,7
23,Попович Олександр Степанович,САМОПОМІЧ,1,0,0,0,0,16,8,7
24,Самелюк Олег Степанович,УКРОП,1,0,0,0,0,16,8,7
25,Туєшин Олег Володимирович,Свобода,0,0,0,0,1,16,8,7
26,Угринчук Тарас Іванович,Свобода,1,0,0,0,0,16,8,7
27,Черноволенко Павло Олександрович,Воля,1,0,0,0,0,16,8,7
